,Hugo,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
201,ACTB,233544.03,-0.1277322010676604,0.0469595850699509,-2.7200453512821854,0.0065272963480406,0.0170065557140721
5524,EMD,2878.2363,0.0109148075632906,0.0419425389253059,0.2602323999204832,0.7946845134452892,0.8755251183033494
8594,ITGA10,258.79666,0.0336567628892376,0.1452413462321352,0.2317299017281548,0.816747805228296,0.8924972285448117
8595,ITGA11,1306.4672,-0.0570419102421587,0.1398838818980756,-0.4077804352307116,0.6834348785881696,0.7845531825867801
8596,ITGA1,2029.0973,0.3935015519091177,0.108109697599248,3.639835839406276,0.0002728119108905,0.0010513302467956
8597,ITGA2B,76.01473,0.0729032990944407,0.1559727736073927,0.4674104166279013,0.6402062713771213,0.7479175692297477
8598,ITGA2,2612.366,0.0258156156286202,0.1237044159865801,0.2086879067552512,0.8346918813024922,0.9052091840109432
8599,ITGA3,12985.26,0.1856824045833129,0.1212932618989911,1.5308550671012775,0.1258052163604825,0.2057574228697835
8600,ITGA4,1202.873,0.5160076327508042,0.1311241608648499,3.935259751882453,8.310676293156093e-05,0.0003662273996804
8601,ITGA5,6298.941,0.0040604315323175,0.0995549157834465,0.0407858466893774,0.9674666226763388,0.9941277429499612
8602,ITGA6,9968.539,0.0189960790529961,0.1060571765525227,0.1791116798549579,0.8578500111127608,0.9218466363590848
8603,ITGA7,1694.1782,0.0454326479362904,0.1283551503761634,0.3539604589542643,0.7233685164819126,0.8188978885150833
8604,ITGA8,224.83195,1.545964495699282,0.17867096287987,8.652578296892683,5.034879147764692e-18,1.2059424066981334e-16
8605,ITGA9,573.7452,0.4808992697056425,0.1273615946413877,3.775857793392986,0.0001594579507212,0.0006567680393958
8606,ITGAD,28.85426,0.7269294547801595,0.1826762757355526,3.979331480528336,6.91093268007507e-05,0.000309979463392
8607,ITGAE,638.2998,-0.0936464865364322,0.0590189233306354,-1.5867196697541646,0.1125761493900053,0.1872212592581351
8608,ITGAL,1420.9138,0.1806163916297733,0.1253918747269238,1.4404154337999693,0.1497498997192496,0.2372759131748932
8609,ITGAM,836.5737,0.4121326185329574,0.1138889167435937,3.618724545961055,0.0002960585534473,0.001128737095437
8610,ITGAV,7907.828,0.2007955334724259,0.0781032193792204,2.5708995745423544,0.0101434736463998,0.0248688559690576
8611,ITGAX,1153.5889,0.0846025664862988,0.1077888647761992,0.7848915253162574,0.4325171712707231,0.5568593619111271
8615,ITGB1,22976.303,-0.0062254809340498,0.062967208884299,-0.0988686181960052,0.92124258584566,0.9659924274357646
8616,ITGB2,4947.66,0.1626359872352897,0.1079068287889,1.5071890172350195,0.1317622145865151,0.2137487591049292
8618,ITGB3,1092.6902,-0.399610638714645,0.1559171527308248,-2.5629677794625483,0.0103781679196416,0.0253344269395664
8619,ITGB4,12039.232,-0.0612382942919587,0.1360506504124943,-0.4501139399649269,0.6526282858232793,0.7587721587045938
8620,ITGB5,7554.544,0.0240308583274153,0.0746243392591899,0.3220244033779623,0.7474342072095678,0.8379284106688595
8621,ITGB6,2810.2827,0.0419515867062854,0.2049428103559976,0.2046989920427709,0.8378073079666851,0.907331186919184
8622,ITGB7,635.7159,0.0509517095308122,0.106364599091699,0.479028830700389,0.6319181184594862,0.7407781244233013
8623,ITGB8,3866.9358,0.4495385846190196,0.1426236824932856,3.151921032751225,0.0016220013252405,0.0050616684519578
9610,LMNB1,2485.496,-0.3926590245504904,0.0943405484033334,-4.162144816794559,3.1527229552267194e-05,0.0001532623845402
9611,LMNB2,4647.3613,-0.3144610377164497,0.0726139112893349,-4.330589443990408,1.4871072413592475e-05,7.785038911502424e-05
13521,PLCB2,1043.5188,0.4741780541965729,0.1117174224192737,4.24444141234292,2.191386107794847e-05,0.0001102679925076
14412,PXN,7265.1416,-0.0602248246004591,0.0532527990997753,-1.130923174340957,0.258087428373311,0.3694039619131213
14601,RAP1A,2783.851,0.0952129516933881,0.0466142336445582,2.042572498765157,0.041094775822324,0.0811728476731052
14602,RAP1B,4803.8237,0.0714244366276173,0.0497807863205134,1.4347791970932584,0.1513500277268208,0.2394944205262199
17463,SUN1,5414.794,0.0572806731777034,0.0434212141130054,1.3191863550528136,0.1871068188504617,0.2844890011184877
17464,SUN2,7679.258,0.1208049811395912,0.0580339599812285,2.0816256753574343,0.0373766743097369,0.0749853874923072
17465,SUN3,5.442848,1.4168441641566074,0.2720173367679463,5.208653907840052,1.9021553450030013e-07,1.4253213348883366e-06
17466,SUN5,0.024434943,0.0387624647304295,3.1296257392969484,0.0123856550141798,0.9901179297483268,0.9999928270325272
17519,SYNE1,3132.2383,0.4640375601818477,0.1058956741508718,4.382025648382233,1.175809630517979e-05,6.309517202877052e-05
17520,SYNE2,6721.9297,0.0442847964882044,0.0752163035473481,0.5887659244026463,0.5560183074298917,0.6755936834639028
17672,TAZ,1041.5432,0.0571704703032051,0.0508667788863056,1.1239255080607533,0.26104462898873,0.3728241039341672
18037,TLN1,19040.05,0.0845847188403733,0.0574314481995599,1.4727944617809852,0.1408064661423426,0.2254564564838344
18038,TLN2,1945.6411,0.251517925649758,0.0944079059055198,2.6641616847371705,0.0077180456694399,0.01971044804116
19669,YAP1,5967.078,-0.0813599894680221,0.0865268195461395,-0.9402863747307592,0.3470706866530408,0.4688482588792554
20496,ZYX,10681.098,-0.0935647884575963,0.0633276428329361,-1.477471515944916,0.1395492881614184,0.2238733746027998
